Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
BZ2,Buzzer,Buzzer_D14mm_H7mm_P10mm,82.12,33.69,180,bottom
C6,100nF,C_0603_1608Metric,76.12,20.795,-90,bottom
C7,100nF,C_0603_1608Metric,78.94,20.795,-90,bottom
C8,100nF,C_0603_1608Metric,81.69,20.78,-90,bottom
C10,100nF,C_0603_1608Metric,84.38,20.78,-90,bottom
C12,10uF,C_0603_1608Metric,73.07,20.795,-90,bottom
R3,240,R_0603_1608Metric,53.2892,7.5184,-90,bottom
R8,33,R_0603_1608Metric,57.658,7.5184,90,bottom
C2,100nF 50V,C_0603_1608Metric,61.4,24.36,0,top
C3,100nF/2V,C_0603_1608Metric,57.5564,19.545,-90,top
C4,2.2nF/50V,C_0603_1608Metric,56.71,32.925,90,top
C5,100nF/4V,C_0603_1608Metric,61.4,26.57,180,top
C9,100nF,C_0603_1608Metric,1.98,20.6775,90,top
C11,1uF,C_0603_1608Metric,4.01,20.675,90,top
C13,1uF,C_0603_1608Metric,49.2802,47.455,90,top
C14,100nF,C_0603_1608Metric,52.09,47.455,90,top
C15,1uF,C_0603_1608Metric,52.9336,40.075,0,top
C16,30pF,C_0603_1608Metric,16.764,25.6032,0,top
C17,30pF,C_0603_1608Metric,16.755,27.432,0,top
C18,100nF 50V,C_0603_1608Metric,2.685,15.36,180,top
C19,0.33uF,C_0603_1608Metric,27.686,36.0172,-90,top
C20,100nF 50V,C_0603_1608Metric,32.258,36.02,-90,top
C21,100nF 50V,C_0603_1608Metric,14.85,36.61,0,top
D1,MotorPw[RED],LED_0805_2012Metric,53.2892,3.6576,90,top
D2,GyroPw[RED],LED_0805_2012Metric,48.2092,3.6576,90,top
D3,WiFiPw[BLUE],LED_0805_2012Metric,57.658,3.6576,-90,top
D6,MCUPw[RED],LED_0805_2012Metric,44.3484,3.6576,90,top
D8,DEBUG[GREEN],LED_0805_2012Metric,22.2875,14.15625,180,top
FB1,FerriteBead,L_0603_1608Metric,6.5,20.69,90,top
J1,Conn_01x03_Pin,SS-12D00,40.29,38.63,0,top
J4,10118194-0001LF,AMPHENOL_10118194-0001LF,59.2676,48.3108,180,top
J5,PW_Conn,Molex_SPOX_5267-02A_1x02_P2.50mm_Vertical,14.17,46.57,-90,top
J6,PwSelectPin,PinHeader_1x03_P2.54mm_Vertical,37.7802,43,90,top
J7,Power_conn,SS-12D00,40.46,47.31,0,top
J8,Boot1_Conn,PinHeader_1x03_P2.54mm_Vertical,27.53,14.1,90,top
J9,Boot0_Conn,PinHeader_1x03_P2.54mm_Vertical,19.105,38.73,90,top
J10,SWD,PinHeader_1x06_P2.54mm_Horizontal,39.04,5,-90,top
J14,UART2,PinHeader_1x04_P2.54mm_Horizontal,21.89,5,-90,top
M1,Motor1,PinHeader_1x02_P2.54mm_Horizontal,5,25,180,top
M2,Motor2,PinHeader_1x02_P2.54mm_Horizontal,95,27.55,0,top
R1,1.5K,R_0603_1608Metric,18.975,33.875,-90,top
R2,1K,R_0603_1608Metric,20.75,33.95,90,top
R4,4.7K,R_0603_1608Metric,55.7276,19.5458,-90,top
R5,180,R_0603_1608Metric,48.2092,7.7724,90,top
R6,4.7K,R_0603_1608Metric,52.7,25.995,90,top
R7,4.7K,R_0603_1608Metric,54.4,32.94,-90,top
R9,1.5k,R_0603_1608Metric,55.64,40.35,-90,top
R10,22,R_0603_1608Metric,60.706,42.164,-90,top
R11,22,R_0603_1608Metric,58.196,42.164,-90,top
R13,10K,R_0603_1608Metric,14.97,33.25,180,top
R14,180,R_0603_1608Metric,44.3484,7.7724,-90,top
R15,10K,R_0603_1608Metric,26.95,17.12,0,top
R16,10K,R_0603_1608Metric,23.425,33.06,0,top
R17,100,R_0603_1608Metric,22.1775,16.70625,0,top
R18,4.7K,R_0603_1608Metric,14.865,39.45,0,top
SW2,DEBUG[BLUE],SW_PUSH_6mm_H9.5mm,4.53,38.92,0,top
SW3,RESET,SW_PUSH_6mm_H9.5mm,12.81,10.83,180,top
U1,STM32F103RBT6,STM32F103RBT6,26.01,25.02,0,top
U2,MPU6050,QFN50P400X400X95-24N,56.62,24.68,0,top
U3,ESP32,Lolin D32,77.7748,29.5,0,top
U4,LD39050PU33R,SON95P300X300X100-7N,50.7252,43.6896,0,top
U5,L7805CDT-TR,VREG_L7805CDT-TR,29.98,43.81,0,top
U8,L293DD,SOIC127P1032X265-20N,44.76,24.2975,0,top
Y1,Crystal 8Mh/18pF,Crystal_HC49-U_Vertical,11.8872,28.956,-90,top
